"Latest: Time (s)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
0.04,0.0132055,-0.0938486111111,-0.124043065201
0.08,0.009604,-0.0989102430556,-0.104474729938
0.12,0.005488,-0.10418625,-0.0406667390046
0.16,0.0012005,-0.106592013889,0.124779152199
0.2,-0.00343,-0.0981361111111,0.396155406057
0.24,-0.007203,-0.0743166666667,0.657333960262
0.28,-0.009604,-0.0423986111111,0.832605372299
0.32,-0.0108045,-0.0042875,0.901168981481
0.36,-0.009947,0.0338236111111,0.845755690586
0.4,-0.007889,0.0662180555556,0.69613980517
0.44,-0.004459,0.0919430555556,0.463982928241
0.48,-0.0001715,0.105996527778,0.153337673611
0.52,0.004459,0.106115625,-0.204532937886
0.56,0.008918,0.088965625,-0.53899763696
0.6,0.012005,0.0588340277778,-0.76065080054
0.64,0.01372,0.0242958333333,-0.867011236497
0.68,0.014063,-0.0135770833333,-0.871311969522
0.72,0.0125195,-0.048234375,-0.780583043981
0.76,0.0101185,-0.0790805555556,-0.595320698302
0.8,0.005831,-0.0992079861111,-0.313291859568
0.84,0.001715,-0.105162847222,0.00645109953704
0.88,-0.0029155,-0.0994461805556,0.342321807485
0.92,-0.00686,-0.0763413194444,0.632042341821
0.96,-0.009261,-0.04501875,0.812590422454
1,-0.010633,-0.00809861111111,0.889920910494
1.04,-0.009947,0.0298934027778,0.850718074846
1.08,-0.0080605,0.0627642361111,0.717229938272
1.12,-0.004802,0.0905138888889,0.484080584491
1.16,-0.000343,0.104329166667,0.167066936728
1.2,0.0039445,0.104924652778,-0.180382667824
1.24,0.008575,0.0897993055556,-0.515674430941
1.28,0.011662,0.0596677083333,-0.742620804398
1.32,0.013377,0.0263204861111,-0.850718074846
1.36,0.0138915,-0.01071875,-0.870402199074
1.4,0.0125195,-0.0468052083333,-0.780831163194
1.44,0.009947,-0.0768177083333,-0.58589216821
1.48,0.0060025,-0.0959923611111,-0.316269290123
1.52,0.0018865,-0.1029,-0.0144736207562
1.56,-0.0025725,-0.0981361111111,0.309239245756
1.6,-0.006517,-0.0774131944444,0.60350863233
1.64,-0.0090895,-0.0465670138889,0.801673177083
1.68,-0.0104615,-0.00917048611111,0.879582609954
1.72,-0.0097755,0.0277496527778,0.836906105324
1.76,-0.0080605,0.0596677083333,0.717808883102
1.8,-0.0049735,0.0883701388889,0.500787278164
