"Latest: Time (s)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
0.05,0.0084035,0.490108888889,-2.24436333333
0.1,0.035672,0.398546944444,-2.82901953704
0.15,0.055223,0.2450735,-3.59657731481
0.2,0.0636265,0.0293455555556,-4.13075746914
0.25,0.0584815,-0.2058,-3.88090737654
0.3,0.04116,-0.395974444444,-2.76470703704
0.35,0.015435,-0.503828888889,-1.09384182099
0.4,-0.0132055,-0.512499166667,0.784665432099
0.45,-0.0396165,-0.423605,2.59028518519
0.5,-0.059682,-0.237432222222,3.9574683642
0.55,-0.0660275,0.00895611111111,4.44492006173
0.6,-0.058653,0.252581388889,3.87457669753
0.65,-0.0379015,0.4313225,2.4608132716
0.7,-0.0114905,0.513451944444,0.640213734568
0.75,0.0173215,0.496683055556,-1.23310617284
0.8,0.042189,0.381015833333,-2.86124459877
0.85,0.058653,0.1877925,-3.92126280864
0.9,0.0625975,-0.0444947222222,-4.17507222222
0.95,0.0536795,-0.265062777778,-3.57302253086
1,0.0337855,-0.429988611111,-2.27306311728
1.05,0.007203,-0.509736111111,-0.532867438272
1.1,-0.021266,-0.488393888889,1.34066419753
1.15,-0.0454475,-0.369963611111,3.0353382716
1.2,-0.062083,-0.163306111111,4.1632154321
1.25,-0.0639695,0.0901327777778,4.28480046296
1.3,-0.0512785,0.308223611111,3.40316342593
1.35,-0.0300125,0.453331666667,1.90703765432
1.4,-0.0025725,0.510593611111,0.0969716049383
1.45,0.0252105,0.465241388889,-1.73993101852
1.5,0.04802,0.322705833333,-3.22721712963
1.55,0.0601965,0.1140475,-4.03231435185
1.6,0.0601965,-0.114809722222,-4.0046308642
1.65,0.047677,-0.318704166667,-3.17878425926
1.7,0.025725,-0.458095555556,-1.72728024691
1.75,-0.0018865,-0.505925,0.0777572530864
1.8,-0.029155,-0.449615833333,1.87866604938
1.85,-0.0502495,-0.305651111111,3.35557746914
1.9,-0.062769,-0.0903233333333,4.20868410494
1.95,-0.0608825,0.157113055556,4.08275864198
2,-0.044933,0.359197222222,2.9970154321
2.05,-0.0214375,0.478389722222,1.34685725309
2.1,0.0066885,0.501542222222,-0.513123765432
2.15,0.032928,0.42189,-2.23738688272
2.2,0.0523075,0.258583888889,-3.49050138889
2.25,0.0608825,0.0438277777778,-4.03649598765
2.3,0.056938,-0.177788333333,-3.77882253086
2.35,0.0416745,-0.363961111111,-2.7825345679
2.4,0.0176645,-0.479247222222,-1.21918503086
2.45,-0.01029,-0.496397222222,0.608031018519
2.5,-0.0358435,-0.416173333333,2.36871141975
2.55,-0.0557375,-0.243625277778,3.71006373457
2.6,-0.062769,-0.012005,4.24647762346
2.65,-0.0571095,0.223045277778,3.7946492284
2.7,-0.038073,0.403025,2.49416049383
2.75,-0.0128625,0.4896325,0.74517808642
2.8,0.014749,0.479151944444,-1.0676933642
2.85,0.0389305,0.373107777778,-2.63543626543
2.9,0.0550515,0.193985555556,-3.66877669753
2.95,0.0598535,-0.0229619444444,-3.98134074074
3,0.0526505,-0.236479444444,-3.49971157407
3.05,0.0343,-0.402643888889,-2.30206990741
3.1,0.008918,-0.485821388889,-0.63624382716
3.15,-0.0183505,-0.469814722222,1.14121604938
3.2,-0.041503,-0.365104444444,2.74442345679
3.25,-0.05831,-0.177788333333,3.87367685185
3.3,-0.061397,0.0566902777778,4.16543858025
3.35,-0.0523075,0.281545833333,3.46287083333
3.4,-0.030184,0.436562777778,1.96700972222
3.45,-0.0042875,0.488965555556,0.16419537037
3.5,0.022295,0.448948888889,-1.57054830247
3.55,0.044247,0.319275833333,-2.97928317901
3.6,0.0567665,0.127576944444,-3.80142453704
3.65,0.0581385,-0.0912761111111,-3.87383564815
3.7,0.046991,-0.293074444444,-3.14326682099
3.75,0.0262395,-0.432561111111,-1.76470324074
3.8,0,-0.482581944444,-0.0512382716049
3.85,-0.0258965,-0.436562777778,1.66143271605
3.9,-0.0468195,-0.307461388889,3.11934151235
3.95,-0.0598535,-0.104329166667,4.02326296296
4,-0.0591675,0.136723611111,3.96228518519
4.05,-0.0440755,0.334234444444,2.93413209877
4.1,-0.0221235,0.449234722222,1.38523302469
4.15,0.004116,0.478389722222,-0.344587962963
4.2,0.029498,0.413219722222,-2.00866728395
4.25,0.049049,0.262204444444,-3.28184305556
4.3,0.057967,0.0566902777778,-3.87325339506
4.35,0.0550515,-0.158065833333,-3.66491265432
4.4,0.040817,-0.339951111111,-2.71689876543
4.45,0.018179,-0.451521388889,-1.23453533951
4.5,-0.0080605,-0.472673055556,0.484434567901
4.55,-0.032928,-0.399023333333,2.1179720679
4.6,-0.0509355,-0.248103333333,3.40279290123
4.65,-0.0605395,-0.0341094444444,4.04496512346
4.7,-0.0553945,0.199035277778,3.7088992284
4.75,-0.0379015,0.374155833333,2.50999777778
4.8,-0.014406,0.464479166667,0.929651743827
4.85,0.012005,0.464860277778,-0.592558966049
4.9,0.036015,0.3839885,-1.59893578704
4.95,0.052136,0.268064027778,-1.92933794753
5,0.0574525,0.175120555556,-1.94759422839
